nim,foto1,foto2,foto_wisuda,foto_alumni,foto_pmb,foto_kkn
60324093,587334,587335,,,,
60324092,587538,587539,,,,
60324091,587438,587439,,,,
60324090,587504,587505,,,,
60324089,587400,587401,,,,
60324088,587358,587359,,,,
60324087,586733,586734,,,,
60324086,586879,586880,,,,
60324085,587070,587071,,,,
60324084,586727,586728,,,,
60324083,586973,586974,,,,
60324082,588638,588639,,,,
60324081,586773,586774,,,,
60324080,587084,587085,,,,
60324079,586705,586706,,,,
60324078,587114,587115,,,,
60324077,585148,585149,,,,
60324076,585229,585230,,,,
60324075,585208,585209,,,,
60324074,585134,585135,,,,
60324073,585225,585226,,,,
60324072,585307,585308,,,,
60324071,585078,585079,,,,
60324070,585082,585083,,,,
60324069,585164,585165,,,,
60324068,584743,584744,,,,
60324067,584691,584692,,,,
60324066,584614,584615,,,,
60324065,584715,584716,,,,
60324064,584632,584633,,,,
60324063,585319,585320,,,,
60324062,584695,584696,,,,
60324061,584948,584949,,,,
60324060,582997,582998,,,,
60324059,579303,579304,,,,
60324058,579305,579306,,,,
60324057,579270,579271,,,,
60324056,588669,588670,,,,
60324055,579309,579310,,,,
60324054,579321,579322,,,,
60324053,580071,580072,,,,
60324052,,579431,,,,
60324051,579481,579482,,,,
60324049,579287,579288,,,,
60324048,,579418,,,,
60324047,,579416,,,,
60324046,579098,579099,,,,
60324045,,579411,,,,
60324044,,579394,,,,
60324043,580621,580622,,,,
